m=9:
x	function	polynomial
0,0759612	0,0021990	0,0021990
0,6698730	1,4942157	1,4942158
1,7860620	27,8591042	27,8591061
3,2898993	170,5578308	170,5578461
5,0000000	585,9703979	585,9703369
6,7101007	1388,4733887	1388,4735107
8,2139378	2505,8513184	2505,8510742
9,3301268	3630,8837891	3630,8837891
9,9240389	4343,7993164	4343,7988281
Best mistake: 1.8066436E-4
